time_ms,diameter_mm
0.0,2.4509999999999996
1.0,2.408
2.0,2.3649999999999998
3.0,2.3649999999999998
4.0,2.279
5.0,2.2359999999999998
6.0,2.1929999999999996
7.0,2.1929999999999996
8.0,2.15
9.0,2.064
10.0,2.021
11.0,2.021
12.0,1.9349999999999998
13.0,1.9349999999999998
14.0,1.8489999999999998
15.0,1.8059999999999998
16.0,1.763
17.0,1.7199999999999998
18.0,1.6769999999999998
19.0,1.634
20.0,1.505
21.0,1.462
22.0,1.376
23.0,1.2899999999999998
24.0,1.204
25.0,1.032
26.0,0.8599999999999999
27.0,0.688
28.0,0.21499999999999997
29.0,0.0
