time_ms,diameter_mm
0.0,2.752
1.0,2.795
2.0,2.752
3.0,2.752
4.0,2.752
5.0,2.752
6.0,2.7089999999999996
7.0,2.7089999999999996
8.0,2.7089999999999996
9.0,2.7089999999999996
10.0,2.7089999999999996
11.0,2.7089999999999996
12.0,2.7089999999999996
13.0,2.666
14.0,2.666
15.0,2.666
16.0,2.666
17.0,2.6229999999999998
18.0,2.6229999999999998
19.0,2.6229999999999998
20.0,2.6229999999999998
21.0,2.6229999999999998
22.0,2.6229999999999998
23.0,2.6229999999999998
24.0,2.6229999999999998
25.0,2.6229999999999998
26.0,2.5799999999999996
27.0,2.5799999999999996
28.0,2.537
29.0,2.537
30.0,2.537
31.0,2.537
32.0,2.537
33.0,2.537
34.0,2.537
35.0,2.537
36.0,2.537
37.0,2.537
38.0,2.5799999999999996
39.0,2.537
40.0,2.537
41.0,2.537
42.0,2.537
43.0,2.4939999999999998
44.0,2.4939999999999998
45.0,2.4939999999999998
46.0,2.4939999999999998
47.0,2.4939999999999998
48.0,2.4939999999999998
49.0,2.4939999999999998
50.0,2.4939999999999998
51.0,2.4939999999999998
52.0,2.4939999999999998
53.0,2.4939999999999998
54.0,2.4509999999999996
55.0,2.4939999999999998
56.0,2.4509999999999996
57.0,2.4509999999999996
58.0,2.4509999999999996
59.0,2.4509999999999996
60.0,2.4509999999999996
61.0,2.4509999999999996
62.0,2.4509999999999996
63.0,2.4509999999999996
64.0,2.408
65.0,2.408
66.0,2.408
67.0,2.408
68.0,2.408
69.0,2.408
70.0,2.408
71.0,2.408
72.0,2.408
73.0,2.408
74.0,2.408
75.0,2.408
76.0,2.408
77.0,2.408
78.0,2.408
79.0,2.3649999999999998
80.0,2.408
81.0,2.408
82.0,2.3649999999999998
83.0,2.3649999999999998
84.0,2.3649999999999998
85.0,2.3649999999999998
86.0,2.3649999999999998
87.0,2.3649999999999998
88.0,2.3649999999999998
89.0,2.3649999999999998
90.0,2.3649999999999998
91.0,2.3649999999999998
92.0,2.3649999999999998
93.0,2.3649999999999998
94.0,2.3649999999999998
95.0,2.3649999999999998
96.0,2.3649999999999998
97.0,2.3649999999999998
98.0,2.3649999999999998
99.0,2.3649999999999998
100.0,2.3649999999999998
101.0,2.3649999999999998
102.0,2.3649999999999998
103.0,2.3219999999999996
104.0,2.3219999999999996
105.0,2.3219999999999996
106.0,2.3219999999999996
107.0,2.3219999999999996
108.0,2.3219999999999996
109.0,2.3219999999999996
110.0,2.3219999999999996
111.0,2.3219999999999996
112.0,2.3219999999999996
113.0,2.3219999999999996
114.0,2.3219999999999996
115.0,2.3219999999999996
116.0,2.3219999999999996
117.0,2.3219999999999996
118.0,2.3219999999999996
119.0,2.3219999999999996
120.0,2.3219999999999996
121.0,2.3219999999999996
122.0,2.3219999999999996
123.0,2.3219999999999996
124.0,2.3219999999999996
125.0,2.3219999999999996
126.0,2.279
127.0,2.279
128.0,2.279
129.0,2.279
130.0,2.279
131.0,2.279
132.0,2.279
133.0,2.279
134.0,2.279
135.0,2.279
136.0,2.279
137.0,2.279
138.0,2.279
139.0,2.279
140.0,2.279
141.0,2.279
142.0,2.279
143.0,2.279
144.0,2.279
145.0,2.279
146.0,2.2359999999999998
147.0,2.279
148.0,2.2359999999999998
149.0,2.279
150.0,2.2359999999999998
151.0,2.279
152.0,2.2359999999999998
153.0,2.2359999999999998
154.0,2.2359999999999998
155.0,2.2359999999999998
156.0,2.2359999999999998
157.0,2.2359999999999998
158.0,2.2359999999999998
159.0,2.2359999999999998
160.0,2.2359999999999998
161.0,2.2359999999999998
162.0,2.2359999999999998
163.0,2.2359999999999998
164.0,2.2359999999999998
165.0,2.2359999999999998
166.0,2.2359999999999998
167.0,2.2359999999999998
168.0,2.2359999999999998
169.0,2.2359999999999998
170.0,2.2359999999999998
171.0,2.2359999999999998
172.0,2.2359999999999998
173.0,2.2359999999999998
174.0,2.2359999999999998
175.0,2.2359999999999998
176.0,2.2359999999999998
177.0,2.1929999999999996
178.0,2.2359999999999998
179.0,2.1929999999999996
180.0,2.1929999999999996
181.0,2.1929999999999996
182.0,2.2359999999999998
183.0,2.1929999999999996
184.0,2.2359999999999998
185.0,2.1929999999999996
186.0,2.1929999999999996
187.0,2.1929999999999996
188.0,2.1929999999999996
189.0,2.1929999999999996
190.0,2.1929999999999996
191.0,2.1929999999999996
192.0,2.1929999999999996
193.0,2.1929999999999996
194.0,2.1929999999999996
195.0,2.15
196.0,2.15
197.0,2.15
198.0,2.1929999999999996
199.0,2.15
200.0,2.15
201.0,2.15
202.0,2.15
203.0,2.15
204.0,2.15
205.0,2.15
206.0,2.15
207.0,2.15
208.0,2.15
209.0,2.15
210.0,2.15
211.0,2.15
212.0,2.15
213.0,2.15
214.0,2.15
215.0,2.15
216.0,2.15
217.0,2.15
218.0,2.15
219.0,2.15
220.0,2.15
221.0,2.15
222.0,2.15
223.0,2.15
224.0,2.15
225.0,2.15
226.0,2.15
227.0,2.15
228.0,2.15
229.0,2.15
230.0,2.15
231.0,2.15
232.0,2.15
233.0,2.15
234.0,2.15
235.0,2.15
236.0,2.15
237.0,2.15
238.0,2.15
239.0,2.15
240.0,2.15
241.0,2.15
242.0,2.15
243.0,2.15
244.0,2.1069999999999998
245.0,2.1069999999999998
246.0,2.1069999999999998
247.0,2.1069999999999998
248.0,2.15
249.0,2.1069999999999998
250.0,2.1069999999999998
251.0,2.15
252.0,2.064
253.0,2.064
254.0,2.064
255.0,2.1069999999999998
256.0,2.064
257.0,2.064
258.0,2.15
259.0,2.1069999999999998
260.0,2.064
261.0,2.064
262.0,2.064
263.0,2.1069999999999998
264.0,2.064
265.0,2.064
266.0,2.064
267.0,2.064
268.0,2.064
269.0,2.064
270.0,2.064
271.0,2.064
272.0,2.064
273.0,2.064
274.0,2.064
275.0,2.064
276.0,2.064
277.0,2.064
278.0,2.064
279.0,2.064
280.0,2.064
281.0,2.064
