time_ms,diameter_mm
0.0,2.8379999999999996
1.0,2.795
2.0,2.752
3.0,2.7089999999999996
4.0,2.666
5.0,2.666
6.0,2.6229999999999998
7.0,2.6229999999999998
8.0,2.5799999999999996
9.0,2.537
10.0,2.4939999999999998
11.0,2.4509999999999996
12.0,2.4509999999999996
13.0,2.408
14.0,2.3649999999999998
15.0,2.3649999999999998
16.0,2.279
17.0,2.279
18.0,2.1929999999999996
19.0,2.1929999999999996
20.0,2.15
21.0,2.15
22.0,2.1069999999999998
23.0,2.064
24.0,2.021
25.0,1.9779999999999998
26.0,1.9349999999999998
27.0,1.892
28.0,1.8059999999999998
29.0,1.8059999999999998
30.0,1.7199999999999998
31.0,1.6769999999999998
32.0,1.634
33.0,1.591
34.0,1.505
35.0,1.462
36.0,1.376
37.0,1.2899999999999998
38.0,1.204
39.0,1.1179999999999999
40.0,0.946
41.0,0.731
42.0,0.473
43.0,0.0
