time_ms,diameter_mm
0.0,2.4509999999999996
1.0,2.408
2.0,2.3649999999999998
3.0,2.3219999999999996
4.0,2.279
5.0,2.279
6.0,2.2359999999999998
7.0,2.1929999999999996
8.0,2.15
9.0,2.1069999999999998
10.0,2.1069999999999998
11.0,2.021
12.0,1.9779999999999998
13.0,1.9349999999999998
14.0,1.892
15.0,1.8489999999999998
16.0,1.8059999999999998
17.0,1.763
18.0,1.763
19.0,1.6769999999999998
20.0,1.634
21.0,1.5479999999999998
22.0,1.462
23.0,1.4189999999999998
24.0,1.333
25.0,1.204
26.0,1.075
27.0,0.946
28.0,0.7739999999999999
29.0,0.42999999999999994
30.0,0.0
