time_ms,diameter_mm
0.0,2.666
1.0,2.666
2.0,2.666
3.0,2.666
4.0,2.666
5.0,2.6229999999999998
6.0,2.6229999999999998
7.0,2.5799999999999996
8.0,2.5799999999999996
9.0,2.5799999999999996
10.0,2.5799999999999996
11.0,2.5799999999999996
12.0,2.5799999999999996
13.0,2.5799999999999996
14.0,2.5799999999999996
15.0,2.5799999999999996
16.0,2.5799999999999996
17.0,2.5799999999999996
18.0,2.5799999999999996
19.0,2.5799999999999996
20.0,2.5799999999999996
21.0,2.5799999999999996
22.0,2.537
23.0,2.537
24.0,2.537
25.0,2.537
26.0,2.537
27.0,2.537
28.0,2.537
29.0,2.537
30.0,2.537
31.0,2.537
32.0,2.537
33.0,2.537
34.0,2.537
35.0,2.537
36.0,2.537
37.0,2.537
38.0,2.537
39.0,2.537
40.0,2.4939999999999998
41.0,2.4939999999999998
42.0,2.4939999999999998
43.0,2.4939999999999998
44.0,2.4939999999999998
45.0,2.4939999999999998
46.0,2.4939999999999998
47.0,2.4939999999999998
48.0,2.4939999999999998
49.0,2.4939999999999998
50.0,2.4939999999999998
51.0,2.4939999999999998
52.0,2.4939999999999998
53.0,2.4939999999999998
54.0,2.4939999999999998
55.0,2.4939999999999998
56.0,2.4939999999999998
57.0,2.4509999999999996
58.0,2.4509999999999996
59.0,2.4939999999999998
60.0,2.4509999999999996
61.0,2.4939999999999998
62.0,2.4509999999999996
63.0,2.4939999999999998
64.0,2.4509999999999996
65.0,2.4509999999999996
66.0,2.4509999999999996
67.0,2.4509999999999996
68.0,2.4509999999999996
69.0,2.4509999999999996
70.0,2.4509999999999996
71.0,2.4509999999999996
72.0,2.4509999999999996
73.0,2.4509999999999996
74.0,2.4509999999999996
75.0,2.4509999999999996
76.0,2.4509999999999996
77.0,2.408
78.0,2.4509999999999996
79.0,2.408
80.0,2.4509999999999996
81.0,2.4509999999999996
82.0,2.4509999999999996
83.0,2.4509999999999996
84.0,2.408
85.0,2.408
86.0,2.408
87.0,2.408
88.0,2.408
89.0,2.408
90.0,2.408
91.0,2.408
92.0,2.408
93.0,2.408
94.0,2.408
95.0,2.408
96.0,2.408
97.0,2.408
98.0,2.408
99.0,2.408
100.0,2.408
101.0,2.408
102.0,2.3649999999999998
103.0,2.408
104.0,2.3649999999999998
105.0,2.408
106.0,2.408
107.0,2.408
108.0,2.408
109.0,2.408
110.0,2.408
111.0,2.408
112.0,2.408
113.0,2.3649999999999998
114.0,2.3649999999999998
115.0,2.3649999999999998
116.0,2.3649999999999998
117.0,2.3649999999999998
118.0,2.3649999999999998
119.0,2.3649999999999998
120.0,2.408
121.0,2.408
122.0,2.3649999999999998
123.0,2.3649999999999998
124.0,2.3649999999999998
125.0,2.3649999999999998
126.0,2.3649999999999998
127.0,2.3649999999999998
128.0,2.3649999999999998
129.0,2.3649999999999998
130.0,2.3649999999999998
131.0,2.3649999999999998
132.0,2.3649999999999998
133.0,2.3649999999999998
134.0,2.3219999999999996
135.0,2.3649999999999998
136.0,2.3219999999999996
137.0,2.3649999999999998
138.0,2.3219999999999996
139.0,2.3219999999999996
140.0,2.3219999999999996
141.0,2.3219999999999996
142.0,2.3219999999999996
143.0,2.3219999999999996
144.0,2.3649999999999998
145.0,2.3649999999999998
146.0,2.3649999999999998
147.0,2.3219999999999996
148.0,2.3219999999999996
149.0,2.3219999999999996
150.0,2.3219999999999996
151.0,2.3219999999999996
152.0,2.3219999999999996
153.0,2.3219999999999996
154.0,2.3219999999999996
155.0,2.3219999999999996
156.0,2.3219999999999996
157.0,2.3219999999999996
158.0,2.3219999999999996
159.0,2.3219999999999996
160.0,2.3219999999999996
161.0,2.3219999999999996
162.0,2.3219999999999996
163.0,2.3219999999999996
164.0,2.3219999999999996
165.0,2.3219999999999996
166.0,2.3219999999999996
167.0,2.3219999999999996
168.0,2.3219999999999996
169.0,2.279
170.0,2.279
171.0,2.279
172.0,2.279
173.0,2.279
174.0,2.3219999999999996
175.0,2.279
176.0,2.3219999999999996
177.0,2.279
178.0,2.279
179.0,2.279
180.0,2.279
181.0,2.279
182.0,2.279
183.0,2.279
184.0,2.279
185.0,2.279
186.0,2.279
187.0,2.279
188.0,2.279
189.0,2.279
190.0,2.279
191.0,2.279
192.0,2.279
193.0,2.279
194.0,2.279
195.0,2.279
196.0,2.279
197.0,2.279
198.0,2.279
199.0,2.2359999999999998
200.0,2.279
201.0,2.279
202.0,2.2359999999999998
203.0,2.2359999999999998
204.0,2.2359999999999998
205.0,2.2359999999999998
206.0,2.2359999999999998
207.0,2.2359999999999998
