time_ms,diameter_mm
0.0,2.279
1.0,2.2359999999999998
2.0,2.2359999999999998
3.0,2.2359999999999998
4.0,2.2359999999999998
5.0,2.1929999999999996
6.0,2.1929999999999996
7.0,2.1929999999999996
8.0,2.15
9.0,2.15
10.0,2.15
11.0,2.15
12.0,2.15
13.0,2.1069999999999998
14.0,2.15
15.0,2.1069999999999998
16.0,2.064
17.0,2.064
18.0,2.064
19.0,2.064
20.0,2.064
21.0,2.064
22.0,2.064
23.0,2.064
24.0,2.064
25.0,2.021
26.0,2.021
27.0,2.021
28.0,2.021
29.0,2.021
30.0,2.021
31.0,2.021
32.0,1.9779999999999998
33.0,1.9779999999999998
34.0,1.9779999999999998
35.0,1.9779999999999998
36.0,1.9779999999999998
37.0,1.9779999999999998
38.0,1.9779999999999998
39.0,1.9349999999999998
40.0,1.9349999999999998
41.0,1.9349999999999998
42.0,1.9349999999999998
43.0,1.9349999999999998
44.0,1.892
45.0,1.9349999999999998
46.0,1.892
47.0,1.892
48.0,1.892
49.0,1.8489999999999998
50.0,1.892
51.0,1.8489999999999998
52.0,1.892
53.0,1.892
54.0,1.892
55.0,1.892
56.0,1.8489999999999998
57.0,1.8489999999999998
58.0,1.8489999999999998
59.0,1.8489999999999998
60.0,1.8059999999999998
61.0,1.8489999999999998
62.0,1.8489999999999998
63.0,1.8489999999999998
64.0,1.8059999999999998
65.0,1.8059999999999998
66.0,1.8059999999999998
67.0,1.8059999999999998
68.0,1.8059999999999998
69.0,1.8059999999999998
70.0,1.8059999999999998
71.0,1.763
72.0,1.8059999999999998
73.0,1.763
74.0,1.763
75.0,1.763
76.0,1.763
77.0,1.8059999999999998
78.0,1.8059999999999998
79.0,1.763
80.0,1.763
81.0,1.763
82.0,1.763
83.0,1.763
84.0,1.763
85.0,1.763
86.0,1.763
87.0,1.7199999999999998
88.0,1.763
89.0,1.7199999999999998
90.0,1.7199999999999998
91.0,1.7199999999999998
92.0,1.7199999999999998
93.0,1.7199999999999998
94.0,1.7199999999999998
95.0,1.7199999999999998
96.0,1.7199999999999998
97.0,1.7199999999999998
98.0,1.6769999999999998
99.0,1.6769999999999998
100.0,1.6769999999999998
101.0,1.6769999999999998
102.0,1.6769999999999998
103.0,1.6769999999999998
104.0,1.6769999999999998
105.0,1.6769999999999998
106.0,1.6769999999999998
107.0,1.6769999999999998
108.0,1.6769999999999998
109.0,1.634
110.0,1.6769999999999998
111.0,1.634
112.0,1.634
113.0,1.634
114.0,1.634
115.0,1.634
116.0,1.634
117.0,1.634
118.0,1.634
119.0,1.591
120.0,1.634
121.0,1.591
122.0,1.6769999999999998
123.0,1.591
124.0,1.591
125.0,1.591
126.0,1.591
127.0,1.591
128.0,1.591
129.0,1.591
130.0,1.591
131.0,1.591
132.0,1.591
133.0,1.5479999999999998
134.0,1.591
135.0,1.5479999999999998
136.0,1.591
137.0,1.591
138.0,1.591
139.0,1.5479999999999998
140.0,1.591
141.0,1.5479999999999998
142.0,1.591
143.0,1.5479999999999998
144.0,1.591
145.0,1.5479999999999998
146.0,1.591
147.0,1.5479999999999998
148.0,1.5479999999999998
149.0,1.5479999999999998
150.0,1.5479999999999998
151.0,1.5479999999999998
152.0,1.5479999999999998
153.0,1.5479999999999998
154.0,1.5479999999999998
155.0,1.5479999999999998
156.0,1.5479999999999998
157.0,1.5479999999999998
158.0,1.5479999999999998
159.0,1.5479999999999998
160.0,1.5479999999999998
161.0,1.5479999999999998
162.0,1.5479999999999998
163.0,1.505
164.0,1.5479999999999998
165.0,1.5479999999999998
166.0,1.505
167.0,1.505
168.0,1.505
169.0,1.505
170.0,1.505
171.0,1.505
172.0,1.505
173.0,1.505
174.0,1.505
175.0,1.505
176.0,1.505
177.0,1.505
178.0,1.505
179.0,1.505
180.0,1.505
181.0,1.462
182.0,1.505
183.0,1.505
184.0,1.505
185.0,1.505
186.0,1.505
187.0,1.505
188.0,1.505
189.0,1.505
190.0,1.505
191.0,1.505
192.0,1.505
193.0,1.505
194.0,1.505
195.0,1.505
196.0,1.505
197.0,1.505
198.0,1.462
199.0,1.462
200.0,1.462
201.0,1.505
202.0,1.462
203.0,1.505
204.0,1.505
205.0,1.462
206.0,1.462
207.0,1.462
208.0,1.462
209.0,1.462
210.0,1.462
211.0,1.462
212.0,1.462
213.0,1.462
214.0,1.462
215.0,1.462
216.0,1.462
217.0,1.4189999999999998
218.0,1.462
219.0,1.4189999999999998
220.0,1.462
221.0,1.4189999999999998
222.0,1.4189999999999998
223.0,1.4189999999999998
224.0,1.462
225.0,1.4189999999999998
226.0,1.4189999999999998
227.0,1.462
228.0,1.462
229.0,1.4189999999999998
230.0,1.462
231.0,1.4189999999999998
232.0,1.4189999999999998
233.0,1.4189999999999998
234.0,1.4189999999999998
235.0,1.4189999999999998
236.0,1.4189999999999998
237.0,1.4189999999999998
238.0,1.4189999999999998
239.0,1.4189999999999998
240.0,1.4189999999999998
241.0,1.4189999999999998
242.0,1.4189999999999998
243.0,1.4189999999999998
244.0,1.4189999999999998
245.0,1.4189999999999998
246.0,1.4189999999999998
247.0,1.4189999999999998
248.0,1.376
249.0,1.4189999999999998
250.0,1.4189999999999998
251.0,1.4189999999999998
252.0,1.4189999999999998
253.0,1.376
254.0,1.376
255.0,1.376
256.0,1.376
257.0,1.376
258.0,1.376
259.0,1.376
260.0,1.376
261.0,1.4189999999999998
262.0,1.376
263.0,1.4189999999999998
264.0,1.4189999999999998
265.0,1.376
266.0,1.376
267.0,1.376
268.0,1.376
269.0,1.376
270.0,1.376
271.0,1.376
272.0,1.376
273.0,1.376
274.0,1.376
275.0,1.376
276.0,1.376
277.0,1.376
278.0,1.376
279.0,1.376
280.0,1.376
281.0,1.376
282.0,1.376
283.0,1.376
284.0,1.376
285.0,1.376
286.0,1.376
287.0,1.376
288.0,1.376
289.0,1.376
290.0,1.376
291.0,1.376
292.0,1.376
293.0,1.376
294.0,1.376
295.0,1.376
296.0,1.376
297.0,1.376
298.0,1.333
299.0,1.333
300.0,1.376
301.0,1.376
302.0,1.376
303.0,1.376
304.0,1.376
305.0,1.333
306.0,1.376
307.0,1.333
308.0,1.333
309.0,1.333
310.0,1.376
311.0,1.376
312.0,1.376
313.0,1.376
314.0,1.376
315.0,1.376
316.0,1.333
317.0,1.333
318.0,1.376
319.0,1.376
320.0,1.376
321.0,1.376
322.0,1.333
323.0,1.333
324.0,1.376
325.0,1.333
326.0,1.333
327.0,1.333
328.0,1.376
329.0,1.333
330.0,1.333
331.0,1.333
332.0,1.2899999999999998
333.0,1.333
334.0,1.333
335.0,1.333
336.0,1.333
337.0,1.333
338.0,1.333
339.0,1.333
340.0,1.333
341.0,1.333
342.0,1.333
343.0,1.333
344.0,1.333
345.0,1.333
346.0,1.333
347.0,1.333
348.0,1.333
349.0,1.333
350.0,1.333
351.0,1.333
352.0,1.333
353.0,1.333
354.0,1.333
355.0,1.2899999999999998
356.0,1.333
357.0,1.2899999999999998
358.0,1.333
359.0,1.2899999999999998
360.0,1.333
361.0,1.2899999999999998
362.0,1.2899999999999998
363.0,1.2899999999999998
364.0,1.2899999999999998
365.0,1.2899999999999998
366.0,1.2899999999999998
367.0,1.2899999999999998
368.0,1.2899999999999998
369.0,1.2899999999999998
370.0,1.2899999999999998
371.0,1.2899999999999998
372.0,1.2899999999999998
373.0,1.2899999999999998
374.0,1.2899999999999998
375.0,1.2469999999999999
376.0,1.2899999999999998
377.0,1.2899999999999998
378.0,1.2899999999999998
379.0,1.2899999999999998
380.0,1.2899999999999998
381.0,1.2469999999999999
382.0,1.2469999999999999
383.0,1.2469999999999999
384.0,1.2469999999999999
385.0,1.2469999999999999
386.0,1.2899999999999998
387.0,1.2469999999999999
388.0,1.2469999999999999
389.0,1.2469999999999999
390.0,1.2469999999999999
391.0,1.2469999999999999
392.0,1.2469999999999999
393.0,1.2469999999999999
394.0,1.2469999999999999
395.0,1.2469999999999999
396.0,1.2469999999999999
397.0,1.2469999999999999
398.0,1.2469999999999999
399.0,1.2469999999999999
400.0,1.2469999999999999
401.0,1.2469999999999999
402.0,1.2469999999999999
403.0,1.2469999999999999
404.0,1.2469999999999999
405.0,1.2469999999999999
406.0,1.2469999999999999
407.0,1.2469999999999999
408.0,1.2469999999999999
409.0,1.204
410.0,1.2469999999999999
411.0,1.2469999999999999
412.0,1.204
413.0,1.2469999999999999
414.0,1.204
415.0,1.204
416.0,1.204
417.0,1.204
418.0,1.204
419.0,1.1609999999999998
420.0,1.1609999999999998
421.0,1.1609999999999998
422.0,1.1609999999999998
423.0,1.1179999999999999
424.0,1.075
425.0,1.032
426.0,1.032
427.0,0.9889999999999999
428.0,0.9029999999999999
429.0,0.817
430.0,0.7739999999999999
431.0,0.688
432.0,0.6449999999999999
433.0,0.602
434.0,0.5589999999999999
435.0,0.516
436.0,0.473
437.0,0.42999999999999994
438.0,0.38699999999999996
439.0,0.344
440.0,0.258
441.0,0.258
442.0,0.129
443.0,0.043
444.0,0.0
