time_ms,diameter_mm
0.0,2.3219999999999996
1.0,2.279
2.0,2.279
3.0,2.3219999999999996
4.0,2.3219999999999996
5.0,2.279
6.0,2.279
7.0,2.279
8.0,2.2359999999999998
9.0,2.2359999999999998
10.0,2.2359999999999998
11.0,2.2359999999999998
12.0,2.1929999999999996
13.0,2.1929999999999996
14.0,2.1929999999999996
15.0,2.1929999999999996
16.0,2.1929999999999996
17.0,2.1929999999999996
18.0,2.15
19.0,2.15
20.0,2.15
21.0,2.1929999999999996
22.0,2.15
23.0,2.15
24.0,2.15
25.0,2.1069999999999998
26.0,2.1069999999999998
27.0,2.1069999999999998
28.0,2.1069999999999998
29.0,2.1069999999999998
30.0,2.1069999999999998
31.0,2.1069999999999998
32.0,2.064
33.0,2.064
34.0,2.064
35.0,2.064
36.0,2.021
37.0,2.064
38.0,2.064
39.0,2.064
40.0,2.021
41.0,2.021
42.0,2.021
43.0,2.021
44.0,1.9779999999999998
45.0,1.9779999999999998
46.0,2.021
47.0,1.9779999999999998
48.0,1.9779999999999998
49.0,1.9779999999999998
50.0,1.9779999999999998
51.0,1.9779999999999998
52.0,1.9779999999999998
53.0,1.9779999999999998
54.0,1.9349999999999998
55.0,1.9349999999999998
56.0,1.9349999999999998
57.0,1.9349999999999998
58.0,1.9349999999999998
59.0,1.9349999999999998
60.0,1.9349999999999998
61.0,1.9349999999999998
62.0,1.9349999999999998
63.0,1.9779999999999998
64.0,1.892
65.0,1.9349999999999998
66.0,1.892
67.0,1.892
68.0,1.892
69.0,1.892
70.0,1.892
71.0,1.892
72.0,1.892
73.0,1.892
74.0,1.892
75.0,1.892
76.0,1.892
77.0,1.892
78.0,1.8489999999999998
79.0,1.892
80.0,1.8489999999999998
81.0,1.8489999999999998
82.0,1.8489999999999998
83.0,1.8489999999999998
84.0,1.8489999999999998
85.0,1.8489999999999998
86.0,1.8489999999999998
87.0,1.892
88.0,1.8059999999999998
89.0,1.8489999999999998
90.0,1.8059999999999998
91.0,1.8059999999999998
92.0,1.8059999999999998
93.0,1.8489999999999998
94.0,1.8059999999999998
95.0,1.8059999999999998
96.0,1.8489999999999998
97.0,1.8489999999999998
98.0,1.8059999999999998
99.0,1.8059999999999998
100.0,1.763
101.0,1.763
102.0,1.8059999999999998
103.0,1.8059999999999998
104.0,1.8059999999999998
105.0,1.763
106.0,1.763
107.0,1.763
108.0,1.763
109.0,1.763
110.0,1.763
111.0,1.8059999999999998
112.0,1.763
113.0,1.763
114.0,1.763
115.0,1.763
116.0,1.763
117.0,1.7199999999999998
118.0,1.763
119.0,1.763
120.0,1.7199999999999998
121.0,1.763
122.0,1.7199999999999998
123.0,1.7199999999999998
124.0,1.7199999999999998
125.0,1.7199999999999998
126.0,1.7199999999999998
127.0,1.763
128.0,1.7199999999999998
129.0,1.7199999999999998
130.0,1.7199999999999998
131.0,1.7199999999999998
132.0,1.7199999999999998
133.0,1.7199999999999998
134.0,1.7199999999999998
135.0,1.7199999999999998
136.0,1.7199999999999998
137.0,1.7199999999999998
138.0,1.7199999999999998
139.0,1.7199999999999998
140.0,1.6769999999999998
141.0,1.6769999999999998
142.0,1.6769999999999998
143.0,1.6769999999999998
144.0,1.6769999999999998
145.0,1.7199999999999998
146.0,1.6769999999999998
147.0,1.6769999999999998
148.0,1.634
149.0,1.6769999999999998
150.0,1.6769999999999998
151.0,1.6769999999999998
152.0,1.6769999999999998
153.0,1.6769999999999998
154.0,1.634
155.0,1.634
156.0,1.6769999999999998
157.0,1.634
158.0,1.634
159.0,1.634
160.0,1.634
161.0,1.6769999999999998
162.0,1.634
163.0,1.6769999999999998
164.0,1.634
165.0,1.634
166.0,1.634
167.0,1.634
168.0,1.634
169.0,1.634
170.0,1.634
171.0,1.634
172.0,1.634
173.0,1.634
174.0,1.634
175.0,1.634
176.0,1.591
177.0,1.591
178.0,1.634
179.0,1.634
180.0,1.634
181.0,1.634
182.0,1.591
183.0,1.591
184.0,1.591
185.0,1.591
186.0,1.591
187.0,1.634
188.0,1.634
189.0,1.591
190.0,1.591
191.0,1.634
192.0,1.591
