time_ms,diameter_mm
0.0,2.15
1.0,2.15
2.0,2.1069999999999998
3.0,2.1069999999999998
4.0,2.064
5.0,2.064
6.0,2.064
7.0,2.021
8.0,1.9779999999999998
9.0,1.9779999999999998
10.0,1.9779999999999998
11.0,1.9779999999999998
12.0,1.9779999999999998
13.0,1.9349999999999998
14.0,1.892
15.0,1.892
16.0,1.892
17.0,1.8489999999999998
18.0,1.8489999999999998
19.0,1.8489999999999998
20.0,1.8489999999999998
21.0,1.8059999999999998
22.0,1.8059999999999998
23.0,1.763
24.0,1.763
25.0,1.763
26.0,1.7199999999999998
27.0,1.7199999999999998
28.0,1.7199999999999998
29.0,1.7199999999999998
30.0,1.7199999999999998
31.0,1.6769999999999998
32.0,1.6769999999999998
33.0,1.634
34.0,1.591
35.0,1.591
36.0,1.591
37.0,1.5479999999999998
38.0,1.5479999999999998
39.0,1.5479999999999998
40.0,1.505
41.0,1.462
42.0,1.462
43.0,1.462
44.0,1.4189999999999998
45.0,1.4189999999999998
46.0,1.376
47.0,1.376
48.0,1.333
49.0,1.333
50.0,1.2899999999999998
51.0,1.2899999999999998
52.0,1.2469999999999999
53.0,1.204
54.0,1.204
55.0,1.1609999999999998
56.0,1.1179999999999999
57.0,1.075
58.0,1.075
59.0,1.032
60.0,0.9889999999999999
61.0,0.946
62.0,0.946
63.0,0.946
64.0,0.9029999999999999
65.0,0.8599999999999999
66.0,0.817
67.0,0.817
68.0,0.7739999999999999
69.0,0.731
70.0,0.731
71.0,0.688
72.0,0.6449999999999999
73.0,0.602
74.0,0.602
75.0,0.5589999999999999
76.0,0.5589999999999999
77.0,0.516
78.0,0.473
79.0,0.42999999999999994
80.0,0.38699999999999996
81.0,0.42999999999999994
82.0,0.344
83.0,0.344
84.0,0.301
85.0,0.258
86.0,0.258
87.0,0.258
88.0,0.21499999999999997
89.0,0.172
90.0,0.172
91.0,0.129
92.0,0.129
93.0,0.129
94.0,0.086
95.0,0.043
96.0,0.0
